snake #,can #,Date,Time,Location,location/notes,latitude,longitude,Open,CH4 (ppmv),CO (ppbv),CO2 (ppmv),OCS (MS),DMS (MS),CS2 (MS),CHCl3 (C/D/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/D/MS),CH3Cl (MS),CH3Br (MS),CH3I (C/D/MS),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/D/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (C/D),n-PrONO2 (C/D),2-BuONO2 (C/D),3-PenONO2 (C/D),2-PenONO2 (C/D),3-Methyl-2-BuONO2 (C/D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E/B),i-Butane (E/B),n-Butane (E/B),1-Butene (E),i-Butene (E),trans-2-Butene (E/B/MS),cis-2-Butene (MS),i-Pentane (E/B/MS),n-Pentane (E/B/MS),"1,3-Butadiene (B)",1-Pentene (E/MS),Isoprene (E/B/MS),trans-2-Pentene (E/MS),cis-2-Pentene (B/MS),3-Methyl-1-butene (E/B/MS),2-Methyl-1-Butene (B/MS),2-Methyl-2-butene (E/B/MS),"1,2-Propadiene (E)",n-Hexane (E/B/MS),n-Heptane (E/B/MS),n-Octane (B/MS),n-Nonane (B/MS),n-Decane (B/MS),"2,2-Dimethylbutane (B/MS)","2,3-Dimethylbutane (B/MS)",2-Methylpentane (B/MS),3-Methylpentane (B/MS),2-Methylhexane (MS),3-Methylhexane (MS),"2,4-Dimethylpentane (B)","2,3-Dimethylpentane (B/MS)","2,2,4-Trimethylpentane (B/MS)","2,3,4-Trimethylpentane (B/MS)",Cyclopentane (E/B),Methylcyclopentane (B/MS),Cyclohexane (B),Methylcyclohexane (B/MS),Benzene (E/B/MS),Toluene (E/B/MS),Ethylbenzene (B/MS),m/p-Xylene (B/MS),o-Xylene (B/MS),Styrene (B/MS),iso-Propylbenzene (B/MS),n-Propylbenzene (B/MS),3-Ethyltoluene (B/MS),4-Ethyltoluene (B/MS),2-ethyltoluene (B/MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (B/MS),beta-Pinene (B/MS),Limonene (B/MS),Methanol (B/MS),Ethanol (MS),Isopropanol (MS),Acetaldehyde (MS),Acetone (B/MS),MAC (MS),MVK (MS),Butanal (MS),Butanone (MS),,Open,Ethanol (MS),,,,,
3712,9131,2/26/2025,16:38,Chino Dairy SD Farm,Vortmann Eggs (High NH3 602ppb),33.99973,-117.62822,11,2.246,207,481,608,83,0.15,22.8,89.1,3.07,4.34,577,7.18,0.54,1.43,0.99,1.27,1.45,1.6,25.9,9.60,2.70,8.24,1.01,12.05,1.39,1.95,2.25,2746,400,413,3467,71,561,2068,16,39,13,11,813,273,4,10,109,13,5,3,19,14,-888,107,30,16,12,12,26,26,92,63,22,23,23,27,47,13,29,64,23,13,91,157,19,53,19,4,-888,4,5,-888,-888,-888,9,-888,25,-888,48,7427,16409,291,1779,2321,60,167,50,484,,11,16409.34419,,,,,
3713,9143 T,2/26/2025,16:44,Chino Dairy SD Farm,Grove / Edison - Downwind Dairy,33.99121,-117.62803,12,3.182,213,470,674,349,0.35,24.2,90.3,3.74,4.90,578,8.46,0.64,1.24,1.17,1.51,1.74,1.3,27.7,10.39,3.40,8.95,1.38,13.78,1.61,2.34,2.74,3040,432,463,1677,81,472,1267,12,31,-888,-888,571,234,-888,7,161,5,-888,4,47,6,4,84,35,25,25,27,28,30,105,68,29,33,31,39,62,24,27,60,35,20,114,196,41,103,42,27,14,27,21,35,32,17,31,9,93,17,9757,23239,93650,329,3219,2149,53,173,38,447,,12,93650.49887,,,,,
3714,9133,2/27/2025,8:59,Chino Dairy SD Farm, Milking Pit with Milk - Challange Dairy Products,33.99530,-117.63652,13,3.020,177,494,610,49,0.15,32.5,79.5,1.66,4.79,547,7.06,0.65,1.47,1.92,1.95,1.74,1.5,28.1,10.90,2.97,4.95,0.79,5.47,0.71,0.98,0.83,15268,1042,357,1480,105,214,426,15,38,4,4,328,109,3,5,79,7,-888,-888,14,5,-888,38,24,20,18,22,13,18,51,33,19,20,18,22,35,16,4,33,17,23,75,280,21,68,27,16,5,9,12,14,7,8,16,7,28,4,1307,8395,20826,345,1608,1360,22,81,50,316,,13,20826.3882,,,,,
3715,9298,2/27/2025,10:05,Chino Dairy SD Farm,By the Lagoons,33.99435,-117.63351,14,2.439,134,439,586,16,0.15,19.6,78.1,0.95,3.06,554,7.09,0.67,1.08,0.83,0.89,1.38,1.5,25.3,8.77,2.24,4.04,0.67,4.75,0.52,0.73,0.62,2029,284,371,1036,70,173,410,8,26,-888,-888,320,101,4,7,129,5,-888,-888,9,5,4,31,19,7,6,7,13,17,47,31,12,14,15,18,30,9,6,28,15,9,70,156,14,49,16,13,3,4,7,6,-888,3,8,-888,12,-888,386,4381,8974,158,1552,1176,16,45,33,165,,14,8973.837197,,,,,
3716,9142 T,2/27/2025,11:02,Chino Dairy SD Farm,By the Feedlot Trough,33.99576,-117.63569,15,4.205,120,468,593,282,0.15,16.5,66.6,0.97,4.48,539,7.03,0.64,1.16,0.49,0.75,1.22,1.0,23.6,7.41,1.77,4.15,0.55,4.70,0.55,0.73,0.55,1658,246,248,587,65,76,172,17,15,-888,-888,71,71,11,10,44,4,-888,14,163,4,4,34,18,24,20,12,4,5,19,17,7,6,3,6,4,3,-888,20,3,-888,54,43,6,28,9,4,-888,-888,-888,-888,-888,-888,3,-888,184,571,9226,23374,105081,333,2406,1540,12,54,27,214,,15,105081.1636,,,,,
3708,7289,2/27/2025,12:58,Chino Dairy SD Farm,"13506 S Bon View Ave (Milking Barn, El Dorado?)",34.00787,-117.63775,16,2.159,119,435,589,22,0.10,33.8,75.5,1.29,2.65,558,7.03,0.45,1.12,0.52,0.64,1.22,1.1,22.8,7.38,1.59,3.67,0.49,4.06,0.45,0.61,0.45,1714,104,228,561,32,72,240,-888,-888,-888,-888,139,59,4,-888,233,-888,-888,-888,-888,-888,-888,17,12,6,5,4,5,7,24,14,7,8,6,9,10,3,3,21,9,6,47,60,8,24,8,-888,-888,-888,3,-888,-888,-888,4,-888,175,8,14,4032,1953,83,630,1367,14,44,19,180,,16,1952.984284,,,,,
3707,7180,2/27/2025,13:47,Chino Dairy SD Farm,"Dairy ""C"" (NH3 1872ppb)",34.00840,-117.64084,17,3.723,124,461,699,266,0.55,16.0,73.1,1.26,2.27,580,7.13,0.40,1.13,0.50,0.65,1.22,1.3,22.1,7.07,1.61,3.64,0.52,4.26,0.47,0.65,0.48,1618,217,244,748,51,100,315,8,21,-888,-888,158,65,-888,3,90,5,-888,-888,18,-888,-888,21,17,13,6,-888,6,9,25,14,8,9,8,11,12,4,3,16,8,8,49,67,7,24,8,5,-888,-888,-888,-888,-888,-888,3,-888,185,11,22,8448,3449,69,1051,1563,14,44,19,274,,17,3449.448856,,,,,
3706,7235,2/27/2025,15:14,Chino Dairy SD Farm,SD Farm Milk Sun Pit,34.01166,-117.64790,18,2.795,138,448,633,33,0.15,24.1,79.7,1.01,3.54,609,7.16,0.49,1.12,1.01,1.30,1.43,1.7,25.8,7.96,1.80,4.11,0.57,4.30,0.47,0.64,0.52,2112,216,267,743,63,173,771,11,27,6,7,586,199,-888,9,131,17,3,3,20,16,-888,59,28,11,8,9,20,42,98,60,23,26,36,51,64,19,17,58,24,17,68,119,16,52,16,5,-888,-888,6,3,-888,4,9,5,51,-888,16,36371,16271,216,1555,1634,19,84,50,262,,18,16270.50755,,,,,
3705,7048,2/27/2025,15:40,Chino Dairy SD Farm,Background SD Farm,34.01193,-117.64789,19,2.167,139,439,637,29,0.13,20.9,78.4,0.70,2.69,607,7.16,0.43,1.12,0.67,0.86,1.37,1.2,27.3,8.40,2.06,3.89,0.66,4.34,0.49,0.65,0.49,1788,165,239,720,41,100,304,8,17,-888,-888,208,91,-888,-888,96,-888,-888,-888,4,-888,-888,33,23,13,16,23,9,13,40,26,12,14,11,16,18,7,5,25,16,11,74,95,22,62,21,14,8,16,13,14,5,13,25,26,23,5,16,4682,38460,65,1537,1545,16,46,26,128,,19,38460.26259,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,,,,,,33.991,-117.648,1.000,2.159,118.976,434.530,586.177,3.487,0.098,16.0,66.6,0.704,2.268,539,7.03,0.396,1.085,0.488,0.638,1.217,1.0,22.1,7.074,1.593,3.645,0.494,4.060,0.451,0.610,0.454,1618.485,103.617,228.274,561.294,32.377,71.702,172.410,0.000,0.000,0.678,1.437,70.818,58.721,3.468,1.807,44.098,1.742,0.544,0.000,2.177,1.197,3.977,17.264,12.487,5.557,4.726,2.296,4.142,5.124,18.872,13.993,6.636,6.473,3.247,6.371,4.374,3.048,0.000,16.065,3.377,1.871,46.552,43.180,6.185,23.836,8.402,0.882,#DIV/0!,0.518,2.262,0.870,0.587,3.244,3.060,4.071,5.339,1.178,13.941,2776.694,1952.984,65.382,629.974,1176.422,11.573,44.468,18.753,128.078,,1,1952.984284,,,,,
Max,,,,,,34.012,-117.607,19.000,4.205,288.199,493.882,698.761,425.122,0.807,40.8,117.7,5.875,10.764,609,8.46,0.932,1.474,3.257,3.318,2.385,1.9,32.2,12.955,4.202,13.204,1.781,22.191,2.586,3.961,4.750,15268.412,1303.949,711.223,7774.699,336.122,788.975,2104.865,25.251,46.319,12.693,12.495,1029.529,803.601,10.635,11.662,278.734,17.136,5.141,14.118,162.638,16.347,10.452,128.684,52.768,24.992,24.922,26.883,45.919,62.951,193.804,123.620,44.995,51.640,56.067,61.551,104.375,31.518,88.737,97.223,50.503,31.802,149.897,372.949,54.610,142.255,57.561,63.045,#DIV/0!,26.808,24.673,35.088,32.204,16.852,31.196,26.161,813.094,571.001,9757.120,36371.433,105081.164,1414.000,3930.863,4256.559,84.891,299.672,66.450,701.467,,19,105081.1636,,,,,
Median,,,,,,34.005,-117.637,10.000,2.795,213.448,467.497,610.124,83.034,0.152,29.4,90.3,3.733,4.800,559,7.18,0.544,1.215,1.174,1.505,1.744,1.5,27.1,10.391,2.969,8.856,1.127,13.113,1.564,2.154,2.543,3237.813,547.252,462.742,2421.494,84.799,560.852,1449.387,14.942,29.808,1.780,3.712,792.284,272.725,4.797,7.129,129.305,5.304,1.687,3.055,16.916,5.583,6.059,103.583,34.645,18.990,13.505,12.352,26.079,34.739,104.634,68.491,28.043,29.380,30.552,39.514,62.365,19.231,27.110,64.151,30.164,22.640,107.478,201.864,27.550,77.857,29.137,15.676,#DIV/0!,4.561,10.088,8.006,3.426,6.143,10.538,6.801,31.603,4.177,120.381,8447.710,16263.136,386.606,1778.551,2426.951,53.384,166.856,50.039,446.999,,10,16263.13587,,,,,
Average,,,,,,34.004,-117.634,10.000,2.791,210.734,465.516,623.507,153.549,0.288,27.6,91.6,3.380,5.920,565,7.34,0.570,1.225,1.411,1.756,1.800,1.5,26.6,10.139,2.971,8.211,1.140,12.465,1.471,2.152,2.441,3671.544,532.161,477.536,2354.533,99.246,446.627,1278.049,14.596,29.573,3.206,4.739,640.163,265.522,5.375,6.885,140.039,6.665,2.053,3.287,24.645,6.743,6.529,80.636,34.966,17.810,14.499,13.675,26.236,35.022,107.925,68.680,27.263,29.722,29.917,36.222,59.535,17.885,28.665,61.354,29.134,19.423,101.715,210.433,27.172,73.600,28.890,20.722,#DIV/0!,7.158,10.312,10.884,5.714,8.512,13.227,10.150,99.963,44.088,1373.508,10985.987,23569.249,431.384,2215.595,2529.669,43.933,153.883,43.691,396.070,,10,23569.24885,,,,,
Stdev,,,,,,0.006870942,0.011203161,5.627314339,0.593117419,64.61719541,16.85300677,33.00122524,135.9851453,0.207137074,6.8,15.1,1.95419758,2.757764685,21,0.40,0.117323482,0.104762929,0.735529001,0.845885616,0.430718947,0.2,2.2,1.877951399,0.902945032,3.521248278,0.469274396,6.788790772,0.813331211,1.257526605,1.620273078,2974.70562,313.7211346,179.6839882,1716.754758,65.47884658,259.723612,749.0924034,6.469515967,11.46854703,3.230761533,3.09099915,333.2692648,176.4135924,2.101993193,2.760031476,61.46494137,4.319627596,1.351530306,3.002392412,34.85054475,4.506076997,2.277143286,40.01389502,13.44573425,5.525021094,5.831153797,7.366772328,14.46480631,19.46470487,59.87680439,37.09823414,13.59124141,15.11387317,16.07675928,18.00518581,33.38541856,9.231345216,23.32919698,28.85748022,15.0490353,9.17363787,35.15370356,102.4190531,13.43852357,31.21596724,14.06736831,18.55273124,#DIV/0!,7.182319861,5.939689934,9.976697813,7.551330289,5.634296096,8.05708594,8.293251608,183.2573333,131.5719038,2968.948273,8522.035649,29723.58068,318.1538845,982.8598837,972.5929802,23.8628975,85.66975305,14.6695778,156.6956426,,5.627314339,29723.58068,,,,,
%rsd,,,,,,0.020206488,-0.009523712,56.27314339,21.24840212,30.66292307,3.620285232,5.292839794,88.56162064,71.89405665,24.7,16.4,57.82421634,46.58508014,4,5.52,20.5725258,8.553219385,52.14112449,48.16861353,23.93135652,16.3,8.2,18.52199783,30.38702241,42.88466398,41.16222874,54.46360377,55.27625265,58.43035366,66.38791875,81.02055572,58.95230986,37.62735321,72.91274749,65.97607505,58.15223293,58.6121715,44.32525114,38.78110635,100.7570394,65.22752413,52.06002713,66.44024338,39.10410542,40.08855127,43.89139757,64.80945919,65.83712736,91.34352108,141.4104376,66.82279279,34.87899851,49.6227181,38.45413887,31.02276785,40.21862779,53.86997654,55.13238531,55.57860012,55.4802512,54.01611232,49.85254908,50.8503805,53.73787442,49.70811659,56.07657039,51.61396081,81.38578049,47.03429715,51.65492529,47.23099903,34.56112231,48.67064397,49.45788394,42.41306822,48.69236841,89.5322643,#DIV/0!,100.3450052,57.59997922,91.66546965,132.1529693,66.19156693,60.91230879,81.70530101,183.3244211,298.4294321,216.1580775,77.57187094,126.1117012,73.75192133,44.36098853,38.447444,54.31610595,55.67203895,33.57583617,39.56258945,,56.27314339,126.1117012,,,,,
